Day,GroupID,GroupNumber,GroupType,MouseID,MouseNumber,FractionOfTimeOutside,VisitsOutsideRate,ForagingCorrelation,ContactRate,ContactRateOutside,FractionOfTimeInContactOutside,MedianContactDuration,MeanContactDuration,DiffBetweenApproachesAndChases,FractionOfChasesPerContact,FractionOfEscapesPerContact,FractionOfFollowsPerContact,FractionOfBeingFollowedPerContact,FractionOfNAChasesPerContact,FractionOfNAEscapesPerContact,AggressiveChaseRateOutside,AggressiveEscapeRateOutside,FollowRateOutside,BeingFollowedRateOutside,NAChaseRateOutside,NAEscapeRateOutside,AggressiveChaseRate,AggressiveEscapeRate,FollowRate,BeingFollowedRate,NAChaseRate,NAEscapeRate,NumberOfApproachs,ApproachRateOutside,NumberOfApproachesPerMiceOut,FractionOfApproachesPerContact,ApproachRate,FractionOfBeingApproachedPerContact,BeingApproachedRateOutside,BeingApproachedRate,FractionOfApproachEscapeBehaviorPerAggression,Entropy,EntropyOutside,FractionOfTimeNearFoodOrWater,FoodOrWaterPerTimeOutside,FractionOfTimeInFeederOutside,FractionOfTimeInWaterOutside,ProximateVsDistantFood,ProximateVsDistantWater,FractionOfTimeAtHighPlace,HighPlacePerTimeOutside,FractionOfTimeInTheOpenOutside,FractionOfTimeInSmallNestOutside,FractionOfTimeOnRampOutside,FractionOfTimeInLabyrinthOutside,DistanceFromWallsInOpen,DistanceFromNest,FractionOfTimeAloneOutside,MedianSpeedOutside,MeanSpeedOutside,TangentialVelocity,AngularVelocity,DistanceOutside,GridEntropy6x6,GridMI6x6,ConditionID
1,1,25,Baseline03,1,169,0.455665355428332,23.0076479125932,0.266911691534788,48.3494050337103,106.107265908467,0.17025540953949,4,5.77641379310345,223,0.00344827586206897,0.0258620689655172,0.0224137931034483,0.131034482758621,0.0189655172413793,0.105172413793103,0.365887123822301,2.74415342866726,2.37826630484496,13.9037107052474,2.01237918102265,11.1595572765802,0.166722086323139,1.25041564742354,1.0836935611004,6.33543928027928,0.916971474777264,5.08502363285574,225,41.1623014300088,44.1704784153595,0.387931034482759,18.7562347113531,0.460344827586207,48.8459310302772,22.257398524139,0.235294117647059,2.09229763713135,2.40961154620152,0.182852448174903,0.401286703052108,0.323204358122186,0.0780823449299225,0.476560043269896,0.511024913440762,0.00986531634126529,0.0216503541990629,0.434084418290291,0.0455448160909026,0.0215426207681597,0.0974337083676352,8.79933452606201,42.4808616638184,0.0681037899807909,0.00890512764453888,0.0246751697997229,0.0153702920053812,0.211611824639228,481.906066188589,3.06389184648363,0.671662800093994,1
1,1,25,Baseline03,2,170,0.446541026137392,24.007980430532,0.348499652450766,53.1843455370813,119.10293214742,0.216666943232166,4.14,6.54896551724138,225,0.00313479623824451,0.0109717868338558,0.0423197492163009,0.0454545454545455,0.0391849529780564,0.0344827586206897,0.373363423659625,1.30677198280869,5.04040621940494,5.41376964306457,4.66704279574532,4.10699766025588,0.166722086323139,0.583527302130986,2.25074816536238,2.41747025168551,2.08402607903924,1.83394294955453,227,42.3767485853675,43.6283030875086,0.355799373040752,18.9229567976763,0.473354231974922,56.3778769726034,25.175035034794,0.222222222222222,2.12494712997457,2.53774881360484,0.153772411384896,0.344363456847485,0.274780960124786,0.0695824967226988,0.450174752591094,0.581649078876766,0.0218359621392667,0.0489002372931981,0.419158521812721,0.066176592602426,0.0488006737135556,0.12140119144417,8.34850883483887,43.9531517028809,0.0286867563845145,0.00823316350579262,0.0164788079904667,0.0127657821753112,0.189868583345251,314.959457121789,3.04991360997068,0.676182403170215,1
1,1,25,Baseline03,3,171,0.568611232807943,34.5948329120513,0.27814010998796,62.6875044575002,110.246686735212,0.219986773003896,4.92,7.18345744680851,339,0.0492021276595745,0.00664893617021277,0.128989361702128,0.0438829787234043,0.0797872340425532,0.0372340425531915,5.42437155479104,0.73302318307987,14.2206497517495,4.83795300832714,8.79627819695844,4.10492982524727,3.08435859697807,0.416805215807847,8.08602118667224,2.75091442433179,5.00166258969417,2.33410920852394,376,55.1233433676062,62.6172685992162,0.5,31.3437522287501,0.357712765957447,39.436647249697,22.4241206104622,0.0952380952380952,2.28085654637362,2.27656859629985,0.174013398898338,0.306032292114625,0.223637228455634,0.0823950636589911,0.648750819433316,0.446364319323079,0.0203928898587586,0.0358643809374878,0.527978680427955,0.0537012783924313,0.0356363292805296,0.0764233681275004,8.84563159942627,42.1820907592773,0.11967825169084,0.00920711411163211,0.0231659136329115,0.0159338894152634,0.213305344749017,563.348687725142,3.70671180645523,0.669129210387037,1
1,1,25,Baseline03,4,172,0.626850036262054,27.5925052864795,0.338685062968345,65.5217799249936,104.525446493876,0.204205841545097,4.74,7.03312977099237,327,0.00636132315521628,0.0241730279898219,0.0559796437659033,0.0547073791348601,0.049618320610687,0.0305343511450382,0.664920143090815,2.5266965437451,5.85129725919917,5.71831323058101,5.18637711610836,3.19161668683591,0.416805215807847,1.58385982006982,3.66788589910906,3.58452485594749,3.25108068330121,2.00066503587767,332,44.1506975012301,48.0391258422522,0.422391857506361,27.6758663296411,0.409669211195929,42.8208572150485,26.8422558980254,0.0833333333333333,2.53597658584985,2.52519174507681,0.239116521139897,0.381457298089611,0.302427845082472,0.0790294530071383,0.517249297667033,0.492642797045901,0.0291448731569105,0.0464941716055457,0.423811233604177,0.0697885406184939,0.0464350675928265,0.0784487560821723,8.44302368164062,42.3576965332031,0.0809429454189219,0.00843332894146442,0.0198018735172774,0.0126866417339984,0.175297026233126,532.452577006072,3.8047983438455,0.660389656933237,1
2,1,25,Baseline03,1,169,0.371126966608397,12.4996296406032,0.168900854729321,16.582841989867,44.6823957348395,0.107664365602289,4.92,8.67437185929648,73,0.0050251256281407,0.0804020100502513,0.0301507537688442,0.281407035175879,0.0251256281407035,0.201005025125628,0.224534651933867,3.59255443094187,1.3472079116032,12.5739405082966,1.12267325966934,8.98138607735468,0.0833308642706883,1.33329382833101,0.49998518562413,4.66652839915854,0.416654321353441,3.33323457082753,74,16.6155642431062,21.0836889491079,0.371859296482412,6.16648395603093,0.467336683417085,20.8817226298496,7.74977037717401,0.470588235294118,1.79158253759988,2.26350854087397,0.231811650025184,0.624615484408563,0.553300784124901,0.0713147002836621,0.2574409660067,0.419625677803044,0.00643499451868093,0.0173390647882264,0.281299506772215,0.0326623073679799,0.017206838826532,0.0440836366630159,9.88661956787109,42.931224822998,0.211923288983582,0.00539011415094137,0.0159109217675408,0.0213171319042432,0.250288871775035,253.858756801113,2.30060265193632,0.672839653720696,1
2,1,25,Baseline03,2,170,0.495199216319516,24.9159284169358,0.316883488543268,17.5828123611152,35.506543188409,0.0946654176739942,4.56,9.59810426540284,82,0.00947867298578199,0.028436018957346,0.037914691943128,0.137440758293839,0.028436018957346,0.109004739336493,0.336554911738474,1.00966473521542,1.3462196469539,4.88004622020788,1.00966473521542,3.87038148499246,0.166661728541377,0.49998518562413,0.666646914165506,2.41659506384996,0.49998518562413,1.91660987822583,84,14.1353062930159,16.1073482319202,0.398104265402844,6.99979259873782,0.502369668246445,17.8374103221391,8.83307161269296,0.25,1.94464175495293,1.90773374823398,0.345227733993067,0.697149192922624,0.652411696405033,0.0447374965175915,0.142329407044393,0.723701257993062,0.00784884151580694,0.0158498665933725,0.232325725322579,0.0203260469194942,0.0157152446286771,0.0343491682419306,7.90272521972656,45.2933883666992,0.122431197892418,0.00463826791383326,0.00908165070527005,0.016574326124427,0.21707189683482,192.530994951725,2.46845510795969,0.689151733854943,1
2,1,25,Baseline03,3,171,0.459240096589731,18.6661135966342,0.344538447001675,24.0826197742289,52.4401504856914,0.147257829731811,5,10.1092041522491,124,0.069204152249135,0.0069204152249135,0.245674740484429,0.027681660899654,0.176470588235294,0.0207612456747405,3.62907615817933,0.362907615817933,12.8832203615366,1.45163046327173,9.2541442033573,1.0887228474538,1.66661728541377,0.166661728541377,5.91649136321887,0.666646914165506,4.2498740778051,0.49998518562413,144,26.1293483388912,28.1229859840767,0.498269896193772,11.9996444549791,0.41522491349481,21.774456949076,9.99970371248259,0,2.12202562586116,2.45367218047247,0.26684301946609,0.581053399839514,0.505770231091505,0.0752831687480091,0.509190421711001,0.573915372254954,0.0102145121626026,0.0222422045427969,0.297324161179369,0.0456114388480506,0.0220849445759425,0.0537687955902692,8.9421558380127,41.1051254272461,0.0708899704431908,0.00584791693836451,0.0141627388319172,0.0161573539364139,0.203210339565256,279.275047026575,2.78472546850125,0.678468282511105,1
2,1,25,Baseline03,4,172,0.534534161950757,15.9995259399721,0.289671432011466,23.5826345886048,44.1181055716646,0.123347086680732,5.36,10.0650176678445,131,0.0318021201413428,0.0282685512367491,0.141342756183746,0.113074204946996,0.109540636042403,0.0848056537102474,1.40304929379852,1.24715492782091,6.23577463910454,4.98861971128363,4.83272534530602,3.74146478346273,0.749977778436194,0.666646914165506,3.33323457082753,2.66658765666202,2.58325679239134,1.99994074249652,140,21.8252112368659,25.9273129838222,0.49469964664311,11.6663209978964,0.434628975265018,19.1750070152465,10.2496963052947,0.235294117647059,2.27784514534495,2.39701990633955,0.347371189001807,0.649857789695036,0.580441492844449,0.0694162968505874,0.534609381761102,0.5852027448534,0.0162948875588871,0.0304842771871113,0.247794094721417,0.0376173105103981,0.0304132586426104,0.0342465278860377,8.15378379821777,40.472038269043,0.158215459871058,0.00537627469748259,0.0128547472364281,0.0182474592856718,0.221917374204291,295.363527251408,2.91437184692657,0.694975264573945,1
3,1,25,Baseline03,1,169,0.326447383681733,20.7917459126068,0.08305829160315,31.824100886643,97.4861569657109,0.141812751478179,3.8,5.23690666666667,220,0.0133333333333333,0.0693333333333333,0.056,0.309333333333333,0.0426666666666667,0.24,1.29981542620948,6.75904021628929,5.45922479007981,30.1557178880599,4.15940936387033,23.3966776717706,0.42432134515524,2.20647099480725,1.78214964965201,9.84425520760158,1.35782830449677,7.63778421279433,225,58.4916941794265,79.2743558224568,0.6,19.0944605319858,0.349333333333333,34.0551641666883,11.1172192430673,0.32258064516129,1.62897070296369,2.19856341024487,0.186155431737539,0.570246358350448,0.503242317368711,0.0670040409817362,0.281958857562678,0.567228520929431,0.00350772311994999,0.010745140856665,0.348454519458237,0.0198149640528823,0.0104851777714231,0.0507390172817682,9.49740409851074,41.7870712280273,0.262161217551552,0.00512394495308399,0.0271853864231813,0.0206455918204932,0.254705060285097,372.766018634662,2.20723020954906,0.674182955520729,1
3,1,25,Baseline03,2,170,0.343441925023361,29.1084442776495,0.138196609366821,14.9361113494645,43.4894818052528,0.0916271765332513,4.12,7.58477272727273,55,0.0284090909090909,0.0397727272727273,0.0795454545454545,0.170454545454545,0.0511363636363636,0.130681818181818,1.23549664219468,1.72969529907255,3.45939059814511,7.41297985316809,2.22389395595043,5.68328455409553,0.42432134515524,0.594049883217336,1.18809976643467,2.54592807093144,0.763778421279433,1.95187818771411,60,14.8259597063362,19.0839694656489,0.340909090909091,5.09185614186288,0.602272727272727,26.1925288145272,8.99561251729109,0.0833333333333333,1.60173574598237,1.96150011635268,0.242692007766024,0.706646422825389,0.655370566626216,0.051275856199173,0.165892343204736,0.617744699079032,0.00526629936153782,0.0153338861036829,0.225255747804934,0.02064652166512,0.0151526799294943,0.0321174216008742,8.09103679656982,42.8606796264648,0.223119711387984,0.00365917035378516,0.00951422422473206,0.019105745777388,0.224147156817435,136.414946934208,2.00058481393829,0.681833172612947,1
